Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M03;191.016
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M02;142.891
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M01;57.276
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;89.590
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;68.396
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;41.089
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;32.496
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;32.182
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;52.324
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;134.377
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;191.440
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;217.357
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;192.732
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;174.567
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;125.763
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;107.086
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;55.623
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;43.370
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;33.435
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2026M04;274.352
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2026M03;173.656
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2026M02;137.581
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2026M01;105.594
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M12;136.573
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M11;155.202
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M10;278.880
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M09;311.452
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M08;381.409
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M07;371.412
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M06;346.407
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M05;308.771
Total Nacional;01 Andalucía;11 Cádiz;Viajero;Total;;2025M04;256.502
